alias,pop,parent,dims,gating_method,gating_args,collapseDataForGating,groupBy,preprocessing_method,preprocessing_args
singlets,+,root,"FSC-A,FSC-H",singletGate,"wider_gate=TRUE,maxit=20",,,,
lymph,+,singlets,FSC-A,mindensity,"gate_range=c(4e5,8e5)",,,,
live,-,lymph,Zombie Nir-A,mindensity,"gate_range=c(1e4,1e5)",,,,
